10/04/24 22:56:10 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 22:56:10 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__22-56-10/tensorboard".
10/04/24 22:56:10 Starting Tensorboard thread...
10/04/24 22:56:14 Tensorboard is ready at http://localhost:6006/.
10/04/24 22:56:14 Continuing to training script...
10/04/24 22:56:17 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('h_dim', 1024), ('latent_dim', 128))
10/04/24 22:56:17 Train Loader Image Data Size: (28, 28)
10/04/24 22:56:18 (0:00:00.80) | [1/10000] Batch 0 (0.769s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15058.193, Rec. Loss: 14631.21289062 | Total Loss: 14646.27148438
10/04/24 22:56:50 (0:00:32.93) | [1/10000] Batch 814 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12694.458, Rec. Loss: 13049.64355469 | Total Loss: 13062.33789062
10/04/24 22:56:50 (0:00:32.97) | [1/10000] Batch 815 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13721.127, Rec. Loss: 14119.23242188 | Total Loss: 14132.95312500
10/04/24 22:56:50 (0:00:33.01) | [1/10000] Batch 816 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12344.089, Rec. Loss: 12760.97851562 | Total Loss: 12773.32226562
10/04/24 22:56:50 (0:00:33.04) | [1/10000] Batch 817 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12895.760, Rec. Loss: 13241.18359375 | Total Loss: 13254.07910156
10/04/24 22:56:50 (0:00:33.08) | [1/10000] Batch 818 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12273.397, Rec. Loss: 12647.00781250 | Total Loss: 12659.28125000
10/04/24 22:56:50 (0:00:33.12) | [1/10000] Batch 819 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13485.447, Rec. Loss: 13876.87304688 | Total Loss: 13890.35839844
10/04/24 22:56:50 (0:00:33.16) | [1/10000] Batch 820 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13185.889, Rec. Loss: 13626.00683594 | Total Loss: 13639.19238281
10/04/24 22:56:50 (0:00:33.20) | [1/10000] Batch 821 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13221.552, Rec. Loss: 13634.75585938 | Total Loss: 13647.97753906
10/04/24 22:56:50 (0:00:33.23) | [1/10000] Batch 822 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13526.576, Rec. Loss: 13965.47460938 | Total Loss: 13979.00097656
10/04/24 22:56:50 (0:00:33.27) | [1/10000] Batch 823 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12164.863, Rec. Loss: 12552.78710938 | Total Loss: 12564.95214844
10/04/24 22:56:50 (0:00:33.31) | [1/10000] Batch 824 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12897.194, Rec. Loss: 13309.31542969 | Total Loss: 13322.21289062
10/04/24 22:56:50 (0:00:33.35) | [1/10000] Batch 825 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14278.400, Rec. Loss: 14772.55468750 | Total Loss: 14786.83300781
10/04/24 22:56:50 (0:00:33.39) | [1/10000] Batch 826 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14111.182, Rec. Loss: 14624.34570312 | Total Loss: 14638.45703125
10/04/24 22:56:50 (0:00:33.42) | [1/10000] Batch 827 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14223.439, Rec. Loss: 14661.33593750 | Total Loss: 14675.55957031
10/04/24 22:56:50 (0:00:33.46) | [1/10000] Batch 828 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13180.861, Rec. Loss: 13644.23632812 | Total Loss: 13657.41699219
10/04/24 22:56:50 (0:00:33.50) | [1/10000] Batch 829 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12361.572, Rec. Loss: 12774.70019531 | Total Loss: 12787.06152344
10/04/24 22:56:50 (0:00:33.54) | [1/10000] Batch 830 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12804.269, Rec. Loss: 13240.82910156 | Total Loss: 13253.63378906
10/04/24 22:56:50 (0:00:33.58) | [1/10000] Batch 831 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12694.669, Rec. Loss: 13138.02929688 | Total Loss: 13150.72363281
10/04/24 22:56:50 (0:00:33.62) | [1/10000] Batch 832 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13708.338, Rec. Loss: 14116.06054688 | Total Loss: 14129.76855469
10/04/24 22:56:50 (0:00:33.66) | [1/10000] Batch 833 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12755.709, Rec. Loss: 13162.68164062 | Total Loss: 13175.43750000
10/04/24 22:56:51 (0:00:33.70) | [1/10000] Batch 834 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12798.973, Rec. Loss: 13196.32324219 | Total Loss: 13209.12207031
10/04/24 22:56:51 (0:00:33.73) | [1/10000] Batch 835 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13003.080, Rec. Loss: 13538.83105469 | Total Loss: 13551.83398438
10/04/24 22:56:51 (0:00:33.77) | [1/10000] Batch 836 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12636.378, Rec. Loss: 13053.77832031 | Total Loss: 13066.41503906
10/04/24 22:56:51 (0:00:33.81) | [1/10000] Batch 837 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14100.146, Rec. Loss: 14585.02832031 | Total Loss: 14599.12890625
10/04/24 22:56:51 (0:00:33.85) | [1/10000] Batch 838 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13101.499, Rec. Loss: 13522.54589844 | Total Loss: 13535.64746094
10/04/24 22:56:51 (0:00:33.89) | [1/10000] Batch 839 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13235.775, Rec. Loss: 13607.41894531 | Total Loss: 13620.65429688
10/04/24 22:56:51 (0:00:33.92) | [1/10000] Batch 840 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13216.588, Rec. Loss: 13659.44140625 | Total Loss: 13672.65820312
10/04/24 22:56:51 (0:00:33.96) | [1/10000] Batch 841 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13327.623, Rec. Loss: 13756.68554688 | Total Loss: 13770.01269531
10/04/24 22:56:51 (0:00:34.00) | [1/10000] Batch 842 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12441.029, Rec. Loss: 12868.11816406 | Total Loss: 12880.55957031
10/04/24 22:56:51 (0:00:34.04) | [1/10000] Batch 843 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12641.631, Rec. Loss: 13153.44335938 | Total Loss: 13166.08496094
10/04/24 22:56:51 (0:00:34.08) | [1/10000] Batch 844 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12395.522, Rec. Loss: 12820.89941406 | Total Loss: 12833.29492188
10/04/24 22:56:51 (0:00:34.11) | [1/10000] Batch 845 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13974.458, Rec. Loss: 14467.90234375 | Total Loss: 14481.87695312
10/04/24 22:56:51 (0:00:34.15) | [1/10000] Batch 846 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13543.477, Rec. Loss: 14012.23828125 | Total Loss: 14025.78222656
10/04/24 22:56:51 (0:00:34.19) | [1/10000] Batch 847 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13429.215, Rec. Loss: 13881.13964844 | Total Loss: 13894.56933594
10/04/24 22:56:51 (0:00:34.23) | [1/10000] Batch 848 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13269.893, Rec. Loss: 13746.01757812 | Total Loss: 13759.28710938
10/04/24 22:56:51 (0:00:34.27) | [1/10000] Batch 849 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13017.629, Rec. Loss: 13405.89355469 | Total Loss: 13418.91113281
10/04/24 22:56:51 (0:00:34.31) | [1/10000] Batch 850 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12494.329, Rec. Loss: 12888.59570312 | Total Loss: 12901.08984375
10/04/24 22:56:51 (0:00:34.34) | [1/10000] Batch 851 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13246.818, Rec. Loss: 13714.35449219 | Total Loss: 13727.60156250
10/04/24 22:56:51 (0:00:34.38) | [1/10000] Batch 852 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13232.123, Rec. Loss: 13645.95800781 | Total Loss: 13659.19042969
10/04/24 22:56:51 (0:00:34.42) | [1/10000] Batch 853 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12424.977, Rec. Loss: 12833.08593750 | Total Loss: 12845.51074219
10/04/24 22:56:51 (0:00:34.46) | [1/10000] Batch 854 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13152.902, Rec. Loss: 13565.92285156 | Total Loss: 13579.07617188
10/04/24 22:56:51 (0:00:34.49) | [1/10000] Batch 855 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13750.267, Rec. Loss: 14248.73828125 | Total Loss: 14262.48828125
10/04/24 22:56:51 (0:00:34.53) | [1/10000] Batch 856 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12631.977, Rec. Loss: 13046.25000000 | Total Loss: 13058.88183594
10/04/24 22:56:51 (0:00:34.57) | [1/10000] Batch 857 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14279.338, Rec. Loss: 14670.86816406 | Total Loss: 14685.14746094
10/04/24 22:56:51 (0:00:34.61) | [1/10000] Batch 858 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11828.584, Rec. Loss: 12189.44140625 | Total Loss: 12201.26953125
10/04/24 22:56:51 (0:00:34.65) | [1/10000] Batch 859 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12062.604, Rec. Loss: 12468.36718750 | Total Loss: 12480.42968750
10/04/24 22:56:52 (0:00:34.69) | [1/10000] Batch 860 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13428.127, Rec. Loss: 13926.47167969 | Total Loss: 13939.89941406
10/04/24 22:56:52 (0:00:34.72) | [1/10000] Batch 861 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11948.198, Rec. Loss: 12365.82812500 | Total Loss: 12377.77636719
10/04/24 22:56:52 (0:00:34.76) | [1/10000] Batch 862 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13419.999, Rec. Loss: 13891.28125000 | Total Loss: 13904.70117188
10/04/24 22:56:52 (0:00:34.80) | [1/10000] Batch 863 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11907.008, Rec. Loss: 12297.44824219 | Total Loss: 12309.35546875
10/04/24 22:56:52 (0:00:34.85) | [1/10000] Batch 864 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13204.812, Rec. Loss: 13690.60058594 | Total Loss: 13703.80566406
10/04/24 22:56:52 (0:00:34.89) | [1/10000] Batch 865 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11640.146, Rec. Loss: 12046.28808594 | Total Loss: 12057.92871094
10/04/24 22:56:52 (0:00:34.93) | [1/10000] Batch 866 (0.013s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12452.998, Rec. Loss: 12908.50097656 | Total Loss: 12920.95410156
10/04/24 22:56:52 (0:00:34.97) | [1/10000] Batch 867 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13809.996, Rec. Loss: 14263.44824219 | Total Loss: 14277.25781250
10/04/24 22:56:52 (0:00:35.01) | [1/10000] Batch 868 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11692.382, Rec. Loss: 12120.25292969 | Total Loss: 12131.94531250
10/04/24 22:56:52 (0:00:35.05) | [1/10000] Batch 869 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 10776.113, Rec. Loss: 11173.63476562 | Total Loss: 11184.41113281
10/04/24 22:56:52 (0:00:35.09) | [1/10000] Batch 870 (0.014s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12149.906, Rec. Loss: 12631.95410156 | Total Loss: 12644.10449219
10/04/24 22:56:52 (0:00:35.13) | [1/10000] Batch 871 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14153.584, Rec. Loss: 14650.44238281 | Total Loss: 14664.59570312
10/04/24 22:56:52 (0:00:35.17) | [1/10000] Batch 872 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12726.828, Rec. Loss: 13184.46093750 | Total Loss: 13197.18750000
10/04/24 22:56:52 (0:00:35.21) | [1/10000] Batch 873 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11566.179, Rec. Loss: 11965.55664062 | Total Loss: 11977.12304688
10/04/24 22:56:52 (0:00:35.24) | [1/10000] Batch 874 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12567.539, Rec. Loss: 13000.30175781 | Total Loss: 13012.86914062
10/04/24 22:56:52 (0:00:35.28) | [1/10000] Batch 875 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14326.606, Rec. Loss: 14826.90625000 | Total Loss: 14841.23242188
10/04/24 22:56:52 (0:00:35.32) | [1/10000] Batch 876 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13309.377, Rec. Loss: 13727.83984375 | Total Loss: 13741.14941406
10/04/24 22:56:52 (0:00:35.36) | [1/10000] Batch 877 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14610.945, Rec. Loss: 15126.96777344 | Total Loss: 15141.57910156
10/04/24 22:56:52 (0:00:35.39) | [1/10000] Batch 878 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13637.715, Rec. Loss: 14155.31542969 | Total Loss: 14168.95312500
10/04/24 22:56:52 (0:00:35.43) | [1/10000] Batch 879 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12866.253, Rec. Loss: 13382.95214844 | Total Loss: 13395.81835938
10/04/24 22:56:52 (0:00:35.47) | [1/10000] Batch 880 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12055.052, Rec. Loss: 12461.35058594 | Total Loss: 12473.40527344
10/04/24 22:56:52 (0:00:35.51) | [1/10000] Batch 881 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13682.654, Rec. Loss: 14233.29589844 | Total Loss: 14246.97851562
10/04/24 22:56:52 (0:00:35.54) | [1/10000] Batch 882 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13716.378, Rec. Loss: 14158.61718750 | Total Loss: 14172.33398438
10/04/24 22:56:52 (0:00:35.58) | [1/10000] Batch 883 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13227.004, Rec. Loss: 13710.68261719 | Total Loss: 13723.90917969
10/04/24 22:56:52 (0:00:35.62) | [1/10000] Batch 884 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12608.787, Rec. Loss: 13046.09277344 | Total Loss: 13058.70117188
10/04/24 22:56:52 (0:00:35.66) | [1/10000] Batch 885 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13302.170, Rec. Loss: 13787.96386719 | Total Loss: 13801.26562500
10/04/24 22:56:53 (0:00:35.70) | [1/10000] Batch 886 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14058.666, Rec. Loss: 14579.43554688 | Total Loss: 14593.49414062
10/04/24 22:56:53 (0:00:35.73) | [1/10000] Batch 887 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13055.027, Rec. Loss: 13540.70507812 | Total Loss: 13553.75976562
10/04/24 22:56:53 (0:00:35.77) | [1/10000] Batch 888 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14136.794, Rec. Loss: 14592.38183594 | Total Loss: 14606.51855469
10/04/24 22:56:53 (0:00:35.81) | [1/10000] Batch 889 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13212.778, Rec. Loss: 13699.75878906 | Total Loss: 13712.97167969
10/04/24 22:56:53 (0:00:35.85) | [1/10000] Batch 890 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12857.543, Rec. Loss: 13361.16601562 | Total Loss: 13374.02343750
10/04/24 22:56:53 (0:00:35.88) | [1/10000] Batch 891 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14492.570, Rec. Loss: 15027.57519531 | Total Loss: 15042.06738281
10/04/24 22:56:53 (0:00:35.92) | [1/10000] Batch 892 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14090.199, Rec. Loss: 14599.11230469 | Total Loss: 14613.20214844
10/04/24 22:56:53 (0:00:35.96) | [1/10000] Batch 893 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13196.262, Rec. Loss: 13706.08007812 | Total Loss: 13719.27636719
10/04/24 22:56:53 (0:00:35.99) | [1/10000] Batch 894 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13207.029, Rec. Loss: 13690.36132812 | Total Loss: 13703.56835938
10/04/24 22:56:53 (0:00:36.03) | [1/10000] Batch 895 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13988.501, Rec. Loss: 14511.62109375 | Total Loss: 14525.60937500
10/04/24 22:56:53 (0:00:36.07) | [1/10000] Batch 896 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11778.564, Rec. Loss: 12226.96289062 | Total Loss: 12238.74121094
10/04/24 22:56:53 (0:00:36.11) | [1/10000] Batch 897 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13430.862, Rec. Loss: 13948.11132812 | Total Loss: 13961.54199219
10/04/24 22:56:53 (0:00:36.14) | [1/10000] Batch 898 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13757.439, Rec. Loss: 14197.40917969 | Total Loss: 14211.16699219
10/04/24 22:56:53 (0:00:36.18) | [1/10000] Batch 899 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12718.713, Rec. Loss: 13238.44042969 | Total Loss: 13251.15917969
10/04/24 22:56:53 (0:00:36.22) | [1/10000] Batch 900 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13057.303, Rec. Loss: 13594.68945312 | Total Loss: 13607.74707031
10/04/24 22:56:53 (0:00:36.26) | [1/10000] Batch 901 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11939.613, Rec. Loss: 12340.16210938 | Total Loss: 12352.10156250
10/04/24 22:56:53 (0:00:36.29) | [1/10000] Batch 902 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13135.489, Rec. Loss: 13645.74902344 | Total Loss: 13658.88476562
10/04/24 22:56:53 (0:00:36.33) | [1/10000] Batch 903 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11909.793, Rec. Loss: 12322.61914062 | Total Loss: 12334.52929688
10/04/24 22:56:53 (0:00:36.37) | [1/10000] Batch 904 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12963.387, Rec. Loss: 13448.18554688 | Total Loss: 13461.14941406
10/04/24 22:56:53 (0:00:36.41) | [1/10000] Batch 905 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13117.828, Rec. Loss: 13575.31542969 | Total Loss: 13588.43359375
10/04/24 22:56:53 (0:00:36.45) | [1/10000] Batch 906 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13535.542, Rec. Loss: 13844.61425781 | Total Loss: 13858.14941406
10/04/24 22:56:53 (0:00:36.48) | [1/10000] Batch 907 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11342.592, Rec. Loss: 11765.89746094 | Total Loss: 11777.24023438
10/04/24 22:56:53 (0:00:36.52) | [1/10000] Batch 908 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14909.465, Rec. Loss: 15413.61816406 | Total Loss: 15428.52734375
10/04/24 22:56:53 (0:00:36.56) | [1/10000] Batch 909 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13323.953, Rec. Loss: 13785.64941406 | Total Loss: 13798.97363281
10/04/24 22:56:53 (0:00:36.60) | [1/10000] Batch 910 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12951.776, Rec. Loss: 13416.20703125 | Total Loss: 13429.15917969
10/04/24 22:56:53 (0:00:36.63) | [1/10000] Batch 911 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12515.773, Rec. Loss: 12977.64257812 | Total Loss: 12990.15820312
10/04/24 22:56:53 (0:00:36.67) | [1/10000] Batch 912 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14281.933, Rec. Loss: 14646.79492188 | Total Loss: 14661.07714844
10/04/24 22:56:54 (0:00:36.71) | [1/10000] Batch 913 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11986.104, Rec. Loss: 12449.37304688 | Total Loss: 12461.35937500
10/04/24 22:56:54 (0:00:36.75) | [1/10000] Batch 914 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12359.958, Rec. Loss: 12820.21093750 | Total Loss: 12832.57128906
10/04/24 22:56:54 (0:00:36.78) | [1/10000] Batch 915 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12143.721, Rec. Loss: 12636.72363281 | Total Loss: 12648.86718750
10/04/24 22:56:54 (0:00:36.82) | [1/10000] Batch 916 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12075.750, Rec. Loss: 12570.59472656 | Total Loss: 12582.67089844
10/04/24 22:56:54 (0:00:36.86) | [1/10000] Batch 917 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13770.509, Rec. Loss: 14250.32519531 | Total Loss: 14264.09570312
10/04/24 22:56:54 (0:00:36.90) | [1/10000] Batch 918 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13886.794, Rec. Loss: 14418.45996094 | Total Loss: 14432.34667969
10/04/24 22:56:54 (0:00:36.93) | [1/10000] Batch 919 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14432.338, Rec. Loss: 14925.25390625 | Total Loss: 14939.68652344
10/04/24 22:56:54 (0:00:36.97) | [1/10000] Batch 920 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13138.625, Rec. Loss: 13590.50488281 | Total Loss: 13603.64355469
10/04/24 22:56:54 (0:00:37.01) | [1/10000] Batch 921 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12717.182, Rec. Loss: 13168.58300781 | Total Loss: 13181.29980469
10/04/24 22:56:54 (0:00:37.05) | [1/10000] Batch 922 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12834.182, Rec. Loss: 13343.56933594 | Total Loss: 13356.40332031
10/04/24 22:56:54 (0:00:37.09) | [1/10000] Batch 923 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14054.883, Rec. Loss: 14591.80859375 | Total Loss: 14605.86328125
10/04/24 22:56:54 (0:00:37.14) | [1/10000] Batch 924 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12512.003, Rec. Loss: 13003.88867188 | Total Loss: 13016.40039062
10/04/24 22:56:54 (0:00:37.18) | [1/10000] Batch 925 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12541.140, Rec. Loss: 13006.21386719 | Total Loss: 13018.75488281
10/04/24 22:56:54 (0:00:37.21) | [1/10000] Batch 926 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13036.871, Rec. Loss: 13576.25390625 | Total Loss: 13589.29101562
10/04/24 22:56:54 (0:00:37.25) | [1/10000] Batch 927 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12687.183, Rec. Loss: 13194.28710938 | Total Loss: 13206.97460938
10/04/24 22:56:54 (0:00:37.29) | [1/10000] Batch 928 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12453.142, Rec. Loss: 12968.84375000 | Total Loss: 12981.29687500
10/04/24 22:56:54 (0:00:37.33) | [1/10000] Batch 929 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13947.117, Rec. Loss: 14507.31738281 | Total Loss: 14521.26464844
10/04/24 22:56:54 (0:00:37.37) | [1/10000] Batch 930 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12685.348, Rec. Loss: 13222.12109375 | Total Loss: 13234.80664062
10/04/24 22:56:54 (0:00:37.40) | [1/10000] Batch 931 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13730.904, Rec. Loss: 14254.27929688 | Total Loss: 14268.00976562
10/04/24 22:56:54 (0:00:37.44) | [1/10000] Batch 932 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13086.359, Rec. Loss: 13622.63476562 | Total Loss: 13635.72070312
10/04/24 22:56:54 (0:00:37.48) | [1/10000] Batch 933 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11940.846, Rec. Loss: 12374.21875000 | Total Loss: 12386.15917969
10/04/24 22:56:54 (0:00:37.52) | [1/10000] Batch 934 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13005.379, Rec. Loss: 13568.85937500 | Total Loss: 13581.86523438
10/04/24 22:56:54 (0:00:37.55) | [1/10000] Batch 935 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12530.704, Rec. Loss: 13009.08691406 | Total Loss: 13021.61718750
10/04/24 22:56:54 (0:00:37.59) | [1/10000] Batch 936 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12193.250, Rec. Loss: 12687.17675781 | Total Loss: 12699.37011719
10/04/24 22:56:54 (0:00:37.63) | [1/10000] Batch 937 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12353.716, Rec. Loss: 12768.60351562 | Total Loss: 12780.95703125
10/04/24 22:56:54 (0:00:37.67) | [1/10000] Batch 938 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13449.428, Rec. Loss: 13998.59277344 | Total Loss: 14012.04199219
10/04/24 22:56:55 (0:00:37.71) | [1/10000] Batch 939 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13069.786, Rec. Loss: 13642.57128906 | Total Loss: 13655.64062500
10/04/24 22:56:55 (0:00:37.75) | [1/10000] Batch 940 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13212.217, Rec. Loss: 13711.45117188 | Total Loss: 13724.66308594
10/04/24 22:56:55 (0:00:37.79) | [1/10000] Batch 941 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12696.967, Rec. Loss: 13261.16796875 | Total Loss: 13273.86523438
10/04/24 22:56:55 (0:00:37.82) | [1/10000] Batch 942 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13116.141, Rec. Loss: 13652.25292969 | Total Loss: 13665.36914062
10/04/24 22:56:55 (0:00:37.86) | [1/10000] Batch 943 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12842.065, Rec. Loss: 13356.35937500 | Total Loss: 13369.20117188
10/04/24 22:56:55 (0:00:37.90) | [1/10000] Batch 944 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13544.559, Rec. Loss: 14080.02246094 | Total Loss: 14093.56738281
